2022-12-11 17:34:45.829 +01:00 [WRN] MarginCoin, started!
2022-12-11 17:34:51.542 +01:00 [WRN] Get Account OK
2022-12-11 17:43:33.319 +01:00 [WRN] Get Account OK
2022-12-11 17:44:34.911 +01:00 [WRN] Get Account OK
2022-12-11 17:44:55.068 +01:00 [WRN] Get Account OK
2022-12-11 17:44:59.235 +01:00 [WRN] Get Account OK
2022-12-11 17:45:34.600 +01:00 [WRN] Get Account OK
2022-12-11 17:45:51.251 +01:00 [WRN] Get Account OK
2022-12-11 17:46:48.800 +01:00 [WRN] Get Account OK
2022-12-11 17:47:01.075 +01:00 [WRN] Get Account OK
2022-12-11 17:47:14.604 +01:00 [WRN] Get Account OK
2022-12-11 17:47:32.729 +01:00 [WRN] Get Account OK
2022-12-11 17:49:00.133 +01:00 [WRN] Get Account OK
2022-12-11 17:49:24.496 +01:00 [WRN] Get Account OK
2022-12-11 17:49:52.462 +01:00 [WRN] Get Account OK
2022-12-11 17:49:56.293 +01:00 [WRN] Get Account OK
2022-12-11 17:50:28.028 +01:00 [WRN] Start trading market...
2022-12-11 17:54:50.692 +01:00 [WRN] Get Account OK
2022-12-11 18:39:47.809 +01:00 [WRN] Get Account OK
2022-12-11 19:02:41.895 +01:00 [WRN] MarginCoin, started!
2022-12-11 19:02:58.626 +01:00 [WRN] Get Account OK
2022-12-11 19:03:08.556 +01:00 [WRN] Get Account OK
2022-12-11 19:04:08.755 +01:00 [WRN] Get Account OK
2022-12-11 19:04:13.528 +01:00 [WRN] Get Account OK
2022-12-11 19:04:28.738 +01:00 [WRN] Get Account OK
2022-12-11 19:11:58.067 +01:00 [WRN] Call SellMarket OK
2022-12-11 19:12:05.436 +01:00 [WRN] Get Account OK
2022-12-11 19:12:10.656 +01:00 [WRN] Get Account OK
2022-12-11 19:13:32.390 +01:00 [WRN] Get Account OK
2022-12-11 19:14:18.455 +01:00 [WRN] Call SellMarket OK
2022-12-11 19:14:25.110 +01:00 [WRN] Get Account OK
2022-12-11 19:23:36.121 +01:00 [WRN] Get Account OK
2022-12-11 19:23:40.994 +01:00 [WRN] Start trading market...
2022-12-11 19:25:12.050 +01:00 [WRN] MarginCoin, started!
2022-12-11 19:25:16.819 +01:00 [WRN] Get Account OK
2022-12-11 19:25:18.708 +01:00 [WRN] Get Account OK
2022-12-11 19:25:44.016 +01:00 [WRN] Start trading market...
2022-12-11 19:25:57.578 +01:00 [WRN] Call BuyMarket OK
2022-12-11 19:25:59.461 +01:00 [WRN] Get Account OK
2022-12-11 19:28:00.550 +01:00 [WRN] MarginCoin, started!
2022-12-11 19:28:10.537 +01:00 [WRN] Get Account OK
2022-12-11 19:28:15.871 +01:00 [WRN] Start trading market...
2022-12-11 19:28:16.024 +01:00 [WRN] Get Account OK
2022-12-11 19:28:29.397 +01:00 [WRN] Call BuyMarket OK
2022-12-11 19:28:30.823 +01:00 [WRN] Get Account OK
2022-12-11 22:51:26.779 +01:00 [WRN] Start trading market...
2022-12-11 22:51:29.802 +01:00 [WRN] Call SellMarket OK
2022-12-11 22:51:37.481 +01:00 [WRN] Get Account OK
2022-12-11 22:52:01.676 +01:00 [WRN] Start trading market...
2022-12-11 22:52:03.556 +01:00 [WRN] Call SellMarket OK
2022-12-11 22:52:10.706 +01:00 [WRN] Get Account OK
